city,place_id,name,rating,reviews,lat,lon,keyword
Lisboa,ChIJAXsLE00zGQ0RBAOaaBJcT4k,DentalCare Lisboa,4.9,293.0,38.7223,-9.1393,dentist
Lisboa,ChIJm_YvNXMzGQ0RGhiGnXtJYpQ,The Lisbon Smile Clinic,4.7,480.0,38.7223,-9.1393,dentist
Lisboa,ChIJPy04-ZkzGQ0RvdLuGmOMygg,CDL - Dental Clinic Lisbon,4.8,832.0,38.7223,-9.1393,dentist
Lisboa,ChIJraxquVMzGQ0RI_xRbU3SZ20,Claridente,4.6,71.0,38.7223,-9.1393,dentist
Lisboa,ChIJ28szV6E0GQ0RVWq0Cti5BBU,MEDIDENTAL - Dental Clinics & Wellness,4.6,120.0,38.7223,-9.1393,dentist
Lisboa,ChIJOZkgCXozGQ0RKbREfof0PFo,Clínica Dentária do Marquês,4.9,779.0,38.7223,-9.1393,dentist
Lisboa,ChIJy9i5RHczGQ0R8YAOiPIR8nA,GSD Dental Clinics,4.6,134.0,38.7223,-9.1393,dentist
Lisboa,ChIJa-ULmRYzGQ0RIDCRFS3MCMU,Clinica Dentária Dra Ana Mexia,4.9,206.0,38.7223,-9.1393,dentist
Lisboa,ChIJ8bF94pIzGQ0RONC4-tbhTyU,Atlantic Dental Center,4.9,249.0,38.7223,-9.1393,dentist
Lisboa,ChIJTb8MaAQzGQ0RrR2fLdIyMrI,Clinical Dent Institute,4.4,215.0,38.7223,-9.1393,dentist
Lisboa,ChIJkxdn7p8zGQ0R3igOsTx8inM,Dental Face,4.4,95.0,38.7223,-9.1393,dentist
Lisboa,ChIJpRygE3gzGQ0RyLwXOhOt704,IAD Lisbon - International Advanced Dentistry,4.9,112.0,38.7223,-9.1393,dentist
Lisboa,ChIJ7YL4dUYzGQ0Rzaeg9oV84uA,Clínica Dentária Dr. António Bexiga - Av. 5 Outubro,4.5,22.0,38.7223,-9.1393,dentist
Lisboa,ChIJj_W7N5wzGQ0Rj7v5jT1ai-Q,Santa Madalena Dental Clinic,4.2,383.0,38.7223,-9.1393,dentist
Lisboa,ChIJTQ7tDgszGQ0RFaw7owisAVA,Clinica Mint - Clinica Dentária Lisboa,4.9,777.0,38.7223,-9.1393,dentist
Lisboa,ChIJ_1HJY1UyGQ0RbOHJXkY57DA,Dental Clinics Smile.Up Alvalade (Lisbon),4.5,84.0,38.7223,-9.1393,dentist
Lisboa,ChIJVaOzY3UzGQ0RArhrpfpnugs,"Clínica Médica Dentária S. João - Lisboa, Saldanha",4.7,153.0,38.7223,-9.1393,dentist
Lisboa,ChIJWTc1Wp00GQ0R-k3ayEtumQk,Clínica São Dente,4.7,116.0,38.7223,-9.1393,dentist
Lisboa,ChIJDfdu2K4zGQ0RvSIg5RMHqKI,DIRECLIN Roma - Clínica Dentária,5.0,198.0,38.7223,-9.1393,dentist
Lisboa,ChIJeWP4QqkzGQ0R7vJs84_xiKs,BLAG Dental Studio | Dentista Lisboa,4.8,24.0,38.7223,-9.1393,dentist
Lisboa,ChIJtYnKtZ4zGQ0R76rRce4GPUw,Clínica Santa Madalena Alvalade,4.2,116.0,38.772299999999994,-9.1393,dentist
Lisboa,ChIJe0me1HQzGQ0Rq5szCzPO7pY,Bauen Dental | Clínica Dentária Lisboa,3.9,29.0,38.772299999999994,-9.1393,dentist
Lisboa,ChIJHfAO9G8zGQ0Rw0aRwtnnVPc,SmileMed Lisboa,4.4,56.0,38.772299999999994,-9.1393,dentist
Lisboa,ChIJi-lCOr0zGQ0RNY-OmMpXoNE,Clínica Dentária Dr. Vinicius Porto,4.4,66.0,38.772299999999994,-9.1393,dentist
Lisboa,ChIJIeEHSq8zGQ0Ryca2eZ8FprM,Clínica Dentária Vita Centro Lisboa,4.8,257.0,38.772299999999994,-9.1393,dentist
Lisboa,ChIJB_XDytQyGQ0Rxz_fnXlSQy0,Centro Dentário Colombo,4.3,365.0,38.772299999999994,-9.1393,dentist
Lisboa,ChIJ104dwtQyGQ0RqmQmq56FfHw,Clínica HeyDoc Colombo,3.8,193.0,38.772299999999994,-9.1393,dentist
Lisboa,ChIJef80rYgxGQ0RcI5A0xM-khw,Santa Madalena Dental Clinic,4.1,254.0,38.772299999999994,-9.1393,dentist
Lisboa,ChIJddxNLgUzGQ0RpimO0wE_NY0,Sun Lisboa - Clínica Dentária,4.8,90.0,38.6723,-9.1393,dentist
Lisboa,ChIJZV1yW2EzGQ0RiYM9jyGIRp4,"Vila Saúde - Serviços Médicos, Lda.",4.4,92.0,38.6723,-9.1393,dentist
Lisboa,ChIJCeSz4X00GQ0RQWO6FEvO4TU,Clínica Dentária São Paulo - Cais Sodré,4.5,76.0,38.6723,-9.1393,dentist
